activityId;workerId;date;companyName;establishmentName;numberOfRuptures;numberProductsOutStorage;numberProductsOutShelf;rateRuptures;rateOutStorage;mixSize;duration;numberOfPictures;averageRating;marker
ObjectId(5d16e5dc6fcfd20002afade6);5cea8d6eb9a0660034771ae0;29/06/2019;PHILIP MORRIS INTERNATIONAL;Rio Verde - Maracanã;0;4;0;0.0;0.19;21;26.0;4;1;1
ObjectId(5d1ada5139fac10002a09f7f);5cea8d6eb9a0660034771ae0;02/07/2019;PHILIP MORRIS INTERNATIONAL;Condor - Pinhais - Av. Iraí;0;1;0;0.0;0.05;21;11.0;2;2;1
ObjectId(5d3d133f422e7500023a3edf);5d1e5677dca05f0002e3027d;04/08/2019;PHILIP MORRIS INTERNATIONAL;Condor - Ponta Grossa - Uvaranas;3;0;3;0.14;0.0;21;29.0;20;2;1
ObjectId(5d537cc0c4e33a0002b68fe4);5d383ab82e11270002859d6f;21/08/2019;PHILIP MORRIS INTERNATIONAL;Condor - Ponta Grossa - Uvaranas;8;10;9;0.38;0.48;21;16.0;12;1;1
ObjectId(5d5cb7411773ff0002b1a6ab);5d0005620692f20002736579;28/08/2019;PHILIP MORRIS INTERNATIONAL;Condor - Curitiba - Ahú;4;6;4;0.19;0.29;21;11.0;12;1;1
ObjectId(5d5e16ca15a2420002a6a579);5d1a7909ceb2f00002e19ce2;22/08/2019;PHILIP MORRIS INTERNATIONAL;Condor - Colombo - Maracanã;0;0;5;0.0;0.0;21;25.0;10;1;1
ObjectId(5d5e16cc15a2420002a6a58d);5d1a7909ceb2f00002e19ce2;22/08/2019;PHILIP MORRIS INTERNATIONAL;Condor - Almirante Tamandaré - Alto Pinheiros;0;0;6;0.0;0.0;21;18.0;10;1;1
ObjectId(5da68b5c7ee3560002dca910);5cc86453bc41910038188d7a;23/10/2019;PHILIP MORRIS INTERNATIONAL;Mercadorama - Curitiba - XV de Novembro;4;21;4;0.19;1.0;21;9.0;10;2;1
ObjectId(5d6ffac369e9fc00021b82a8);5cb4c40b8b6d0300388f42bc;06/09/2019;LIZER DISTRIBUIDORA;Compania do Alimento - Portão;25;35;25;0.71;1.0;35;34.0;16;1;1
ObjectId(5d5f5a3cb0b82700024b23a3);5cc764c5e3cc6f00387529f3;30/08/2019;LIZER DISTRIBUIDORA;Verde Mais - Hauer;11;14;11;0.79;1.0;14;20.0;4;1;1
ObjectId(5d6ffaca69e9fc00021b82b2);5d28e7901313480002c6bb94;06/09/2019;LIZER DISTRIBUIDORA;Verde Mais - Hauer;13;14;13;0.93;1.0;14;8.0;4;1;1
ObjectId(5d96b94863fffe0002fd981c);5cc764c5e3cc6f00387529f3;11/10/2019;LIZER DISTRIBUIDORA;Verde Mais - Hauer;4;10;4;0.29;0.71;14;28.0;4;2;1
ObjectId(5d96b94863fffe0002fd9821);5b4bc73d4505c5a1931a7f5f;11/10/2019;LIZER DISTRIBUIDORA;Verde Mais - Xaxim;13;14;13;0.93;1.0;14;13.0;2;2;1
ObjectId(5e0eb5651d3f3c0002b69bfd);5cc764c5e3cc6f00387529f3;10/01/2020;LIZER DISTRIBUIDORA;Verde Mais - Hauer;0;13;0;0.0;0.93;14;48.0;4;1;1
ObjectId(5d5f5a3cb0b82700024b239e);5cc764c5e3cc6f00387529f3;30/08/2019;LIZER DISTRIBUIDORA;Dalpar - Novo Mundo;1;11;1;0.09;1.0;11;14.0;4;1;1
ObjectId(5d6ffac669e9fc00021b82ad);5cb4c40b8b6d0300388f42bc;06/09/2019;LIZER DISTRIBUIDORA;Dalpar - Novo Mundo;3;11;3;0.27;1.0;11;24.0;8;1;1
ObjectId(5d96b94763fffe0002fd9817);5ce92798b9a0660034752df0;11/10/2019;LIZER DISTRIBUIDORA;Dalpar - Novo Mundo;5;11;5;0.45;1.0;11;11.0;4;2;1
ObjectId(5d289c193ece35000244a1e9);5cf7ecd0530e8a000254d579;13/07/2019;NESTLÉ BRASIL LTDA;Super Muffato - São José dos Pinhais - Centro;0;0;31;0.0;0.0;166;87.0;16;2;1
ObjectId(5d3b62b483ac420002a87ad5);5c8cf663fc10880015a611e2;28/07/2019;NESTLÉ BRASIL LTDA;Super Muffato - São José dos Pinhais - Centro;65;131;70;0.39;0.79;166;336.0;139;1;1
ObjectId(5d5f5a3eb0b82700024b23b2);5d154d56b875c1000239575f;30/08/2019;LIZER DISTRIBUIDORA;Druziki Supermercados - Filial;23;25;23;0.92;1.0;25;15.0;14;2;1
ObjectId(5dd207f9f1ca4700028e4bd2);5da71b107fb7170002ad6e33;22/11/2019;LIZER DISTRIBUIDORA;Druziki Supermercados - Matriz;8;22;10;0.32;0.88;25;57.0;8;2;1
ObjectId(5d3b5825a01aa60002dadcbf);5ce92798b9a0660034752df0;28/07/2019;COCA-COLA FEMSA;Condor - Curitiba - Novo Mundo;113;152;133;0.36;0.48;314;337.0;25;1;1
ObjectId(5d448cc8950e890002a3a8b6);5d2d1accd2c78300022eaa18;04/08/2019;COCA-COLA FEMSA;Condor - Curitiba - Derosso;0;0;52;0.0;0.0;314;155.0;62;1;1
ObjectId(5d448e88950e890002a3ab27);5d2dfec294131f00024d67ef;04/08/2019;COCA-COLA FEMSA;Condor - Curitiba - Pinheirinho;0;0;0;0.0;0.0;314;276.0;72;2;1
ObjectId(5d4492b78fb6800002674032);5d2d1accd2c78300022eaa18;03/08/2019;COCA-COLA FEMSA;Condor - Curitiba - Nilo Peçanha;0;0;5;0.0;0.0;314;158.0;46;2;1
ObjectId(5d4493208fb680000267410d);5d01cbc58884590002ddae37;04/08/2019;COCA-COLA FEMSA;Condor - Pinhais - Av. Jacob Macanhan;69;83;121;0.22;0.26;314;351.0;66;2;1
ObjectId(5d55582faa01840002e30edf);5ce92798b9a0660034752df0;20/08/2019;COCA-COLA FEMSA;Condor - Curitiba - Derosso;56;62;62;0.18;0.2;314;49.0;58;2;1
ObjectId(5d55582faa01840002e30ee4);5ce92798b9a0660034752df0;22/08/2019;COCA-COLA FEMSA;Condor - Curitiba - Derosso;87;98;118;0.28;0.31;314;74.0;54;1;1
ObjectId(5d555880aa01840002e30eee);5cf7a4cee3ab1c00025c62eb;17/08/2019;COCA-COLA FEMSA;Condor - Fazenda Rio Grande;0;0;0;0.0;0.0;314;258.0;75;2;1
ObjectId(5d555a37b70e830002721702);5d1a7909ceb2f00002e19ce2;17/08/2019;COCA-COLA FEMSA;Super Boni - Bacacheri;4;4;129;0.01;0.01;314;231.0;142;2;1
ObjectId(5d556f4cb70e830002722f5f);5ce9756fb9a066003475eb5b;17/08/2019;COCA-COLA FEMSA;Condor - Pinhais - Av. Jacob Macanhan;30;0;11;0.1;0.0;314;113.0;92;2;1
ObjectId(5d5eb1989ffdc50002640e9c);5d4ec41724eb4e0002105707;24/08/2019;COCA-COLA FEMSA;Condor - Curitiba - Água Verde;39;56;92;0.12;0.18;314;169.0;127;2;1
