activityId;companyName;establishmentName;workerId;date;numberOfRuptures;numberProductsOutStorage;numberProductsOutShelf;rateRuptures;rateOutStorage;mixSize;duration;numberOfPictures;averageRating;marker
ObjectId(5dc98997a402450002c8d525);TRINDADE MASSAS (CÂMARA FRIA);Max Atacadista - São José dos Pinhais - Afonso Pena;5da86820f83c3300028dd090;17/11/2019;0;4;0;0.0;0.66666666666666663;6;46.0;4;1;1
ObjectId(5dcc0450169aae0002d2d13c);COCA-COLA FEMSA;Condor - Curitiba - São Braz;5d0983ec6045c10002f8d5f6;18/11/2019;0;0;0;0.0;0.0;28;38.0;24;2;1
ObjectId(5dcc046ca629750002050185);COCA-COLA FEMSA;Condor - Curitiba - São Braz;5d0983ec6045c10002f8d5f6;18/11/2019;0;0;0;0.0;0.0;110;18.0;20;2;1
ObjectId(5dcc04904b99db000291c4c9);COCA-COLA FEMSA;Condor - Curitiba - São Braz;5d0983ec6045c10002f8d5f6;18/11/2019;0;0;0;0.0;0.0;68;51.0;24;2;1
ObjectId(5dcc15fdbaa48100025fb43a);COCA-COLA FEMSA;TodoDia - Araucária;5db4db0e58b2540002dc6791;15/11/2019;0;0;0;0.0;0.0;68;93.0;34;2;1
ObjectId(5dcc1950f529a80002d56785);COCA-COLA FEMSA;Mercadorama - Curitiba - Rebouças;5bda49454378d99c28e4e1b6;15/11/2019;0;0;0;0.0;0.0;115;210.0;24;2;1
ObjectId(5dcc197330338700026b7f54);COCA-COLA FEMSA;Condor - Curitiba - Umbará;5d7d3fca6049be00028026a5;15/11/2019;0;0;0;0.0;0.0;110;28.0;22;1;1
ObjectId(5dcc1eb71a56db0002168db5);COCA-COLA FEMSA;Condor - Curitiba - Cajuru;5d7d8911f35a310002363dc4;15/11/2019;0;35;0;0.0;0.47945205479452052;73;130.0;28;1;1
ObjectId(5dcc1ebc6f72aa0002967f11);COCA-COLA FEMSA;Condor - Campo Largo - Centro;5d0983ec6045c10002f8d5f6;17/11/2019;0;59;0;0.0;0.80821917808219179;73;83.0;20;2;1
ObjectId(5dcda0aacfeb630002008ddb);MOINHO DO NORDESTE;Condor - Campo Largo - Centro;5da71b107fb7170002ad6e33;20/11/2019;0;0;0;0.0;0.0;3;12.0;6;2;1
ObjectId(5dcda205ea263800024f5617);MOINHO DO NORDESTE;Condor - Ponta Grossa - Nova Rússia;5d582abaec3abb0002e5f679;20/11/2019;0;0;0;0.0;0.0;3;4.0;4;1;1
ObjectId(5dcda3507b6e8800028fc7ef);MOINHO DO NORDESTE;Condor -  Paranaguá - Centro;5d2b478afee3f400023e27af;20/11/2019;0;2;0;0.0;0.66666666666666663;3;10.0;4;2;1
ObjectId(5dd2068474a47b0002be8671);RBR;Big - Curitiba - Av. Paraná;5da5e33893e199000227b206;20/11/2019;0;0;0;0.0;0.0;15;0;0;1;1
ObjectId(5dd2069974a47b0002be8698);JAYFEX CONSULTING;Distribuidora Leonel - CIC;5d1b4c5886c7bb0002d46563;20/11/2019;0;0;0;0.0;0.0;12;4.0;2;2;1
ObjectId(5dd2073ff1ca4700028e4b0e);NOVA ALIANÇA;Condor -  Paranaguá - Raia;5d2b478afee3f400023e27af;21/11/2019;0;0;0;0.0;0.0;13;22.0;8;2;1
ObjectId(5dd20763f1ca4700028e4b52);RBR;Big - Curitiba - Santa Felicidade;5d705860e78ae40002821a3e;21/11/2019;0;3;0;0.0;0.2;15;235.0;6;2;1
ObjectId(5dd207a8f1ca4700028e4bb9);COCA-COLA FEMSA;TodoDia - Araucária;5d1b4c5886c7bb0002d46563;21/11/2019;0;0;0;0.0;0.0;314;9.0;14;1;1
ObjectId(5dd208d274a47b0002be8844);MOINHO DO NORDESTE;Condor - Ponta Grossa - Jd. Carvalho;5d137415548651000251a699;22/11/2019;0;0;0;0.0;0.0;3;12.0;8;1;1
ObjectId(5dd208d674a47b0002be884e);MOINHO DO NORDESTE;Condor - Ponta Grossa - Oficinas;5dc1da1d25f9b30002e49721;22/11/2019;0;0;0;0.0;0.0;3;15.0;4;2;1
ObjectId(5dd2090674a47b0002be8929);MOINHO DO NORDESTE;Condor - Araucária - BR;5ce92798b9a0660034752df0;22/11/2019;0;0;0;0.0;0.0;3;8.0;4;2;1
ObjectId(5dd209c474a47b0002be8ad3);MOINHO DO NORDESTE;Condor - Ponta Grossa - Nova Rússia;5d582abaec3abb0002e5f679;23/11/2019;0;0;0;0.0;0.0;3;15.0;4;1;1
ObjectId(5dd3f8f040042900558845c1);COCA-COLA FEMSA;Condor -  Campo Largo - Loteamento São José;5d0983ec6045c10002f8d5f6;19/11/2019;0;0;0;0.0;0.0;314;88.0;14;1;1
ObjectId(5dd3fa8a40042900558845ee);COCA-COLA FEMSA;Condor -  Campo Largo - Loteamento São José;5d0983ec6045c10002f8d5f6;19/11/2019;0;0;0;0.0;0.0;115;47.0;10;2;1
ObjectId(5dd3fa9340042900558845f3);COCA-COLA FEMSA;Condor - Fazenda Rio Grande;5dac8debabdc4d00022b52fb;19/11/2019;0;0;0;0.0;0.0;68;140.0;14;1;1
ObjectId(5dd3fab140042900558845f8);COCA-COLA FEMSA;Condor -  Campo Largo - Loteamento São José;5d0983ec6045c10002f8d5f6;19/11/2019;0;0;0;0.0;0.0;68;84.0;10;2;1
ObjectId(5dd3fdb49eb9a10043a306cf);COCA-COLA FEMSA;Condor - Fazenda Rio Grande;5dac8debabdc4d00022b52fb;20/11/2019;0;0;0;0.0;0.0;314;247.0;26;1;1
