activityId,companyName,establishmentName,workerId,date,numberOfRuptures,numberProductsOutStorage,numberProductsOutShelf,rateRuptures,rateOutStorage,mixSize,averageRating,duration,marker
ObjectId(5dae2aa0d0e3f20002fe52fc),MR. CRUMS,Big - Curitiba - Av. Paraná,5d0005620692f20002736579,2019-10-28,0,0,0,0.0,0.0,21,5,86.0,ok
ObjectId(5dae2aa3d0e3f20002fe5301),MR. CRUMS,Big - Curitiba - Santa Felicidade,5d50ce4418d17300029d9b7e,2019-10-28,0,0,0,0.0,0.0,21,5,22.0,ok
ObjectId(5dae2aa5d0e3f20002fe5306),MR. CRUMS,Big - Curitiba - Arthur Bernardes,5dae645a554d5300020e450d,2019-10-28,0,0,0,0.0,0.0,21,5,40.0,ok
ObjectId(5dae2aa7d0e3f20002fe530b),MR. CRUMS,Big - Curitiba - Torres,5d16487bb67b2200027fd0b0,2019-10-28,0,0,0,0.0,0.0,21,5,19.0,ok
ObjectId(5dae2aa9d0e3f20002fe5310),MR. CRUMS,Big - Curitiba - Portão,5cbf7e97c988da0039803bfb,2019-10-28,0,0,0,0.0,0.0,21,5,80.0,ok
ObjectId(5dae2aabd0e3f20002fe5315),MR. CRUMS,Mercadorama - Curitiba - XV de Novembro,5ce7203f992aaf0035e12cdb,2019-10-28,0,0,0,0.0,0.0,21,5,8.0,ok
ObjectId(5dae2aaed0e3f20002fe531a),MR. CRUMS,Walmart - Curitiba - Jardim das Américas,5d50ce4418d17300029d9b7e,2019-10-28,0,0,0,0.0,0.0,21,5,29.0,ok
ObjectId(5dae2ab0d0e3f20002fe531f),MR. CRUMS,Big  - Foz do Iguaçu - Jardim Monjollo,5d557a20f880f500027c0405,2019-10-28,8,21,8,0.38095238095238093,1.0,21,5,15.0,ok
ObjectId(5dae2ab2d0e3f20002fe5324),MR. CRUMS,Big - Londrina - Helena,5d669adf3a6c7e0002b841f0,2019-10-28,7,21,7,0.33333333333333331,1.0,21,5,16.0,ok
ObjectId(5dae2ab5d0e3f20002fe5329),MR. CRUMS,Big  - Foz do Iguaçu - Jardim Monjollo,5d557a20f880f500027c0405,2019-10-28,0,0,0,0.0,0.0,21,5,17.0,ok
ObjectId(5dae2ab8d0e3f20002fe532e),MR. CRUMS,Big - Londrina - Helena,5d669adf3a6c7e0002b841f0,2019-10-28,0,0,0,0.0,0.0,21,5,16.0,ok
ObjectId(5dae8278d0e3f20002fe69f2),MR. CRUMS,Big  - Foz do Iguaçu - Jardim Monjollo,5d557a20f880f500027c0405,2019-10-22,9,19,9,0.42857142857142855,0.90476190476190477,21,5,12.0,ok
ObjectId(5db268f2c5ed8a0002924ed8),MR. CRUMS,Big - Curitiba - Av. das Torres,5d62abd08e65c200021be3ef,2019-11-01,0,0,0,0.0,0.0,21,4,41.0,ok
ObjectId(5db8356aeee64400029e9fc1),MR. CRUMS,Big - Curitiba - Av. Paraná,5dab1e03cdb71200029c2901,2019-10-29,5,16,19,0.23809523809523808,0.76190476190476186,21,3,58.0,ok
ObjectId(5db8adc4e8b63000020e057f),MR. CRUMS,Mercadorama - Curitiba - Bacacheri,5cebc12eb9a0660034789ef4,2019-11-01,4,3,4,0.19047619047619047,0.14285714285714285,21,5,16.0,ok
ObjectId(5db8adc7e8b63000020e0584),MR. CRUMS,Big - Curitiba - Pinheirinho,5d16487bb67b2200027fd0b0,2019-11-01,3,21,3,0.14285714285714285,1.0,21,5,34.0,ok
