activityId,workerId,date,companyName,establishmentName,numberOfRuptures,numberProductsOutStorage,numberProductsOutShelf,rateOfRuptures,rateOutStorage,mixSize,duration,numberOfPictures,averageRating
5e395d24e7153f0002ec7288,5ce824e2992aaf0035e283dc,2020-02-05,COCA-COLA FEMSA,Mercadorama - Curitiba - General Osório,0,0,0,0.0,0.0,28,,0,
5e395d3d584d270002dc1c87,5e0d24ce283cdf00027c2c5d,2020-02-06,COCA-COLA FEMSA,Mercadorama - Curitiba - Comendador Araújo,0,0,0,0.0,0.0,115,,0,
5e395e7a53eb7800023aad3e,5dd5ede996e90d000228e02c,2020-02-07,COCA-COLA FEMSA,Mercadorama - Curitiba - Bacacheri,0,0,0,0.0,0.0,314,,0,
5e395e7b53eb7800023aad43,,2020-02-08,COCA-COLA FEMSA,Mercadorama - Curitiba - Bacacheri,0,0,0,0.0,0.0,314,,0,
5e395f4253eb7800023aaec9,,2020-02-07,COCA-COLA FEMSA,Mercadorama - Curitiba - Bacacheri,0,0,0,0.0,0.0,174,,0,
5e395f4453eb7800023aaece,,2020-02-08,COCA-COLA FEMSA,Mercadorama - Curitiba - Bacacheri,0,0,0,0.0,0.0,174,,0,
5e395f7353eb7800023aaf09,5e1df7f017428b0002b604bf,2020-02-08,COCA-COLA FEMSA,Mercadorama - Curitiba - Bacacheri,0,0,0,0.0,0.0,28,,0,
5e395f96584d270002dc1d44,,2020-02-07,COCA-COLA FEMSA,Mercadorama - Curitiba - Bacacheri,0,0,0,0.0,0.0,115,,0,
5e395f97584d270002dc1d49,,2020-02-08,COCA-COLA FEMSA,Mercadorama - Curitiba - Bacacheri,0,0,0,0.0,0.0,115,,0,
5e3c093a3ea5d70002f9a9d4,,2020-02-10,MOINHO DO NORDESTE,Condor -  Apucarana,0,0,0,0.0,0.0,3,,0,
5e3c093a3ea5d70002f9a9d9,,2020-02-12,MOINHO DO NORDESTE,Condor -  Apucarana,0,0,0,0.0,0.0,3,,0,
